example_id,label
2591,0
10174,0
4764,0
5429,0
11235,1
4120,1
4549,0
4752,0
12562,1
3783,1
8804,0
12427,1
4702,1
10942,1
9152,1
9638,0
6396,0
7296,1
10093,0
12304,0
7567,0
6473,0
1509,0
11626,0
1356,0
10024,1
46,0
8951,1
10057,1
1937,1
1554,1
1326,0
11494,0
2165,0
4462,1
3764,1
11997,0
10696,0
7776,0
3004,0
12470,0
11927,1
1949,1
3053,1
1309,0
2114,1
8314,1
1282,0
9413,0
9008,0
3079,1
8487,1
1614,1
6642,0
8229,0
12381,0
1559,1
5626,0
10724,0
4919,0
9996,0
7289,1
2177,0
1732,0
4190,1
3466,1
6940,1
1906,0
4312,1
2118,1
1987,0
8611,0
8586,0
1307,0
6305,0
5452,0
2468,0
2277,0
10046,1
1756,0
2499,0
4303,0
2436,0
10912,0
5830,0
8904,0
5189,1
5158,0
4684,0
2401,1
6295,0
12543,0
7902,1
3691,0
1258,0
11151,1
10565,0
7436,0
6687,0
3463,0
4765,0
12597,0
3282,1
5986,0
8286,1
994,0
587,0
7131,0
105,0
1984,0
10414,1
8004,0
8141,0
3057,0
8348,1
7954,1
3828,1
12168,0
2491,0
5578,0
8231,0
8827,1
1864,1
10631,0
9901,1
8096,0
3152,0
10387,0
1865,0
750,1
8134,0
6933,1
8964,1
1280,1
6592,0
3808,1
7812,0
4356,1
5836,0
241,0
1268,0
9877,0
4899,1
4158,0
4176,0
6267,0
4722,0
9267,0
7489,0
2770,0
7801,0
9853,0
2827,1
9016,0
8766,0
12165,1
6164,0
4056,1
331,0
11386,1
8837,0
5972,0
11932,1
1385,0
9556,0
599,1
10749,0
3172,0
5363,0
3270,1
457,0
5881,1
2087,0
1303,0
7635,1
12237,0
1244,0
5312,0
4217,0
1206,1
3743,0
3023,1
11129,1
11902,0
5347,0
10423,0
10937,0
4403,1
5193,1
3433,0
5675,0
10104,0
8761,1
6007,0
5669,1
3397,0
214,0
11063,0
8602,0
5947,0
2471,0
6968,1
5270,0
11123,1
6748,0
10419,0
10053,0
6992,0
5235,1
9903,0
508,0
7748,0
12444,1
6733,0
2369,0
2452,1
7581,1
4142,0
11417,0
12404,1
8500,0
12360,1
1939,0
8139,1
1833,0
11201,0
7456,0
10130,0
4887,0
5867,0
7894,0
8254,0
4647,0
3830,0
2895,0
1613,0
7164,0
7306,1
9875,0
10672,1
4011,1
8153,0
7066,0
4077,0
2835,1
11511,1
4116,1
5655,0
11096,0
7239,0
7348,0
1381,0
1191,1
11168,1
108,0
10116,1
12296,0
9822,1
1633,1
4825,1
6360,0
1181,0
6998,0
12125,0
1866,0
11811,0
10331,1
9950,0
9154,0
6805,1
10165,1
927,1
11487,0
5825,0
10011,0
12230,0
4791,1
3721,1
3816,1
9742,0
6391,0
11254,1
8628,0
4939,1
479,1
5493,0
162,0
8740,1
9825,0
9142,0
6820,1
9047,1
232,1
11957,0
411,1
695,0
2954,1
5696,0
5219,0
2935,1
10424,0
6743,1
4016,1
6964,0
200,0
11921,0
8987,1
11814,1
3924,0
10574,0
9430,0
1071,1
2172,0
1347,0
3225,0
8728,1
5425,0
6262,1
10786,1
1661,1
9590,1
8414,0
5297,0
8836,0
8580,0
3284,1
4855,0
2967,0
4614,1
6357,1
2360,0
2697,1
10469,0
471,1
2112,0
10048,0
8947,1
10765,1
7579,1
12334,0
1827,0
9690,0
1340,0
546,1
1083,0
12593,0
250,0
1574,1
5285,1
676,0
1930,0
7248,1
463,0
5261,0
1447,1
9175,0
9094,0
1120,0
1143,0
656,1
10255,0
4364,1
8909,0
148,1
5342,0
5826,0
5822,0
1548,0
8865,0
12507,0
4480,0
6190,1
10543,1
11911,0
10590,1
7644,0
11805,1
1663,0
11502,1
1245,0
5860,0
2564,1
1222,1
10132,1
9864,1
5035,0
8147,0
5937,0
9438,0
786,1
11388,0
3297,1
8278,0
4688,1
2094,0
6181,1
11210,1
4163,0
6265,0
1749,0
767,0
5915,0
5633,0
8647,0
6462,0
10315,0
2284,1
9055,0
9840,1
5621,0
7885,0
11273,0
12290,1
10310,0
2623,1
9916,0
8162,1
11820,1
2779,0
7777,1
10243,0
10600,0
4980,1
9279,0
7639,1
12099,0
6817,1
8976,1
4662,0
3021,1
3963,0
10271,1
2372,1
1624,1
7627,0
10311,1
1941,1
12506,0
4096,0
1570,0
6610,1
6356,0
9693,0
12637,1
622,0
9022,0
2400,0
435,1
10557,1
4334,1
7587,0
11394,0
5727,0
8599,0
1835,0
4044,0
9807,1
4583,0
8946,0
5281,0
5809,1
9250,0
3575,1
11860,1
12498,0
478,0
6606,1
6158,0
1667,0
5409,1
9127,0
3522,1
10443,1
3506,0
6395,0
5000,1
9689,0
1739,1
4736,0
8388,0
7613,1
11219,1
3760,0
9394,1
2585,0
5268,0
10676,0
525,1
5886,1
9842,0
4682,1
8626,0
8026,0
2746,1
3345,0
12480,1
6582,0
5106,0
8568,0
1503,0
8954,0
2053,0
6653,1
7057,0
4578,0
8360,0
7706,1
953,1
62,0
6347,0
10283,0
2150,0
897,0
11148,0
11357,0
4435,1
7354,0
5845,1
9086,0
6196,0
5916,1
5791,0
10081,1
7924,0
6322,1
9652,1
11588,1
10887,0
12410,1
3949,1
8637,0
4384,1
734,0
1361,0
9462,1
501,1
3166,0
6435,1
8405,1
67,0
521,0
5964,0
10655,0
4014,0
9103,0
5315,0
3559,0
11796,0
4381,0
9829,1
3819,0
9509,0
5996,0
4822,0
3038,1
11500,0
10793,0
8794,0
7122,1
12563,0
12475,0
8275,1
9710,1
2702,0
7451,1
2474,1
9907,1
3789,0
5075,0
7047,0
6558,0
12147,0
2615,0
2482,0
6231,0
8629,0
12513,1
5796,0
9612,0
3617,0
5255,0
3048,0
2865,0
8091,0
8140,1
561,0
7994,1
10607,0
12464,0
10144,0
10457,0
11162,1
12014,1
557,0
6861,1
9887,1
10378,1
11315,0
11510,1
497,0
5987,0
10265,1
12407,0
4779,0
3802,0
4062,0
4333,0
7984,0
3461,0
4554,0
12195,1
2161,0
10080,0
2780,0
9014,0
2180,0
5856,1
12192,1
12002,1
3130,0
3964,0
10090,0
7983,0
9418,1
8502,1
11683,0
9931,0
5183,0
9224,1
10371,0
1980,0
8127,1
7779,0
1035,0
2794,1
1363,0
10520,0
8169,1
472,0
2862,1
4238,1
5827,1
2557,0
11042,0
3381,1
12258,1
8095,0
3200,1
2932,0
11646,0
8442,1
2793,0
12166,1
4710,0
535,0
3698,1
6567,1
9895,0
6903,1
8092,1
6193,0
1380,0
781,0
5043,1
12043,0
8606,1
9343,1
6367,1
1551,0
8895,0
9141,0
3156,0
5702,0
5455,0
8672,0
2230,0
2805,0
4401,0
12029,0
536,0
1861,0
5205,1
10148,0
11384,0
3378,0
6070,1
11975,1
1069,0
5146,0
7802,1
5936,0
4094,0
2550,1
7303,0
1830,0
2621,0
743,0
1234,0
27,0
8470,1
3459,0
12224,1
2404,0
4977,0
9100,0
3913,1
2612,0
5784,0
861,1
4206,1
7474,1
2145,0
10287,0
752,0
10162,0
5994,1
8715,0
7805,0
11837,0
7993,0
12312,0
1741,0
10013,0
10030,0
1176,1
8636,0
2393,0
10901,0
10730,0
5232,0
7390,0
1235,0
10770,0
8998,0
401,1
6803,1
1852,1
9555,0
10836,1
8676,1
6344,0
2041,0
647,1
1263,0
6639,0
6966,0
10056,1
1630,1
2341,0
4185,0
179,1
1270,1
7938,1
10562,0
12606,0
8324,0
12403,0
1621,0
12055,1
7377,0
10980,0
2445,1
2110,0
3296,1
7110,0
2947,0
8778,0
588,0
4564,1
11161,0
2261,0
7768,1
3192,0
2366,0
1248,1
2576,0
6380,1
3649,0
8384,0
11551,0
12522,0
12158,1
6699,0
5604,0
5113,0
12122,0
796,1
12030,0
1349,0
945,1
5704,0
450,0
2630,1
10029,0
11035,0
2998,0
7737,0
5034,0
6806,0
6619,0
7911,0
7054,0
3749,0
2574,1
52,0
11607,1
12383,0
6641,0
1899,0
11499,1
1044,0
20,0
5732,0
6111,1
1673,1
8842,1
12429,1
9868,0
649,1
8173,1
360,1
7118,0
4971,0
9042,0
4427,1
7213,0
7959,1
496,0
4582,0
9787,0
11730,1
4795,0
11428,0
7335,1
6108,1
10413,0
3684,0
493,0
44,0
10774,0
8202,0
6698,0
6788,0
11425,1
4489,0
10221,0
7304,0
6654,0
6451,0
1056,1
11752,0
2354,0
2060,1
11702,0
3305,1
1851,1
4490,0
12369,1
7425,1
28,0
2960,0
3536,0
1699,0
10395,0
1502,1
6060,0
5889,0
3417,0
230,1
7113,1
4129,0
5487,1
6156,0
2744,0
10133,0
10357,0
5963,1
2917,0
2653,0
515,0
12128,0
6321,0
1972,0
4213,1
9166,0
10279,0
8496,0
2037,0
5903,1
9088,1
395,0
157,0
2911,1
11883,0
803,1
10170,0
9096,0
9806,0
39,0
9645,0
7093,0
6766,0
9012,1
9751,0
4886,0
1601,0
2467,0
11553,0
2745,0
1887,0
885,1
574,1
9452,1
7681,0
7532,0
1444,0
2693,1
1669,0
11613,1
2192,0
10508,0
10164,0
4950,1
9651,1
4271,1
10106,0
5794,1
3160,0
9649,1
3455,0
10227,0
6043,1
7438,1
8270,0
2847,0
12164,1
1247,1
5188,1
8671,0
2582,0
5948,1
2314,1
3400,1
8873,1
8271,0
8403,1
11662,0
6625,1
9867,0
6878,0
6018,1
6140,0
10140,0
725,0
7839,0
3984,1
8021,0
11897,0
5225,0
7707,1
639,0
11440,1
2667,0
252,1
8295,1
9793,0
3142,0
2144,0
5058,1
5736,1
12196,0
7947,0
9975,0
9596,1
274,0
8279,0
7612,0
7290,1
4877,1
5115,0
12419,0
6415,0
2735,0
4214,1
5839,0
6896,1
3720,0
9521,0
10998,0
8103,0
4553,0
11621,0
9640,0
11955,1
6764,0
4328,1
5181,0
6291,0
4165,1
10178,0
12644,1
8815,0
10708,0
7386,1
5063,1
10348,1
11330,0
3234,1
789,0
10925,0
1021,1
10544,1
636,1
11339,0
1602,0
7507,1
10190,1
10006,0
10605,0
4833,0
8772,1
